word,phonetic,tier,frequency,definition_en,definition_zh,definition_zh_tw,definition_ja
slouch,slautʃ,5,14401,n. an incompetent person; usually used in negative constructions; n. a stooping carriage in standing and walking; v. walk slovenly,"n. 没精打采的样子, 耷拉, 笨人; vi. 没精打采地走, 耷拉着; vt. 使低垂","n. 沒精打采的樣子, 耷拉, 笨人; vi. 沒精打采地走, 耷拉著; vt. 使低垂","(疲れたような)前かがみの姿勢で座る(立つ,歩く) / 〈U〉《時にa ~》(疲れたような)前かがみの姿勢 / 〈C〉怠け者,だらしない人"
slough,slau,5,21534,n. a hollow filled with mud; n. a stagnant swamp (especially as part of a bayou); n. any outer covering that can be shed or cast off (such as the cast-off skin of a snake),"n. 泥沼, 沼泽, 蜕下的皮, 腐肉; vt. 使陷入泥沼, 使沉沦, 脱落, 抛弃; vi. 在泥浆中跋涉, 蜕皮, 脱落","n. 泥沼, 沼澤, 蛻下的皮, 腐肉; vt. 使陷入泥沼, 使沉淪, 脫落, 拋棄; vi. 在泥漿中跋涉, 蛻皮, 脫落","ぬかるみ / 《米》(またslue)どろ沼,沼地,湿地 / (蛇などの)抜け殻(がら);かさぶた / (一般に)脱ぎ捨てたもの,捨てた習慣など / 〈蛇が〉脱皮する;〈人が〉脱皮する / 〈蛇が〉〈皮〉を脱する;(蛇のように)…から脱皮する《+『off』+『名』,+『名』+『off』》"
sloven,'slʌvn,5,0,n a coarse obnoxious person,"n. 懒散的人, 散漫的人","n. 懶散的人, 散漫的人",(服装・習慣などが)だらしない人
slovenly,'slʌvәnli,4,27734,s negligent of neatness especially in dress and person; habitually dirty and unkempt,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的; adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地","a. 邋遢的, 不修邊幅的, 不整潔的, 懶散的, 潦草的, 馬虎的; adv. 邋遢地, 不修邊幅地, 不整潔地, 懶散地, 潦草地, 馬虎地","(服装・言語などが)だらしのない,いいかげんな / だらしなく,いいかげんに"
slow,slәu,1,1761,v. become slow or slower; v. cause to proceed more slowly; a. not moving quickly; taking a comparatively long time; a. at a slow tempo,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的; adv. 慢地, 迟缓地; v. (使)慢下来","a. 慢的, 緩慢的, 遲緩的, 遲鈍的, 冷漠的, 落後的; adv. 慢地, 遲緩地; v. (使)慢下來","(速度・動作などが)『遅い』,のろい / 《補語または名詞の後にのみ用いて》(時計などが)『遅れている』 / 『ゆったりした』,あわてない / (人が)理解の遅い,頭の鈍い / (生活・パーティーなどが)『活気のない』,おもしろくない / 遅く,ゆっくり(slowly) / 『遅くなる』,速度を落とす《+『down』(『up』)》 / …を『遅くする』,の速度を落とす《+『名』+『down』(『up』),+『down』(『up』)+『名』》"
slowdown,'slәudaun,4,10257,n. the act of slowing down or falling behind,"n. 降低速度, 减速","n. 降低速度, 減速","速度を落とすこと / 《米》故意に生産率を落とすこと,怠業(《英》go-slow)"
slower,,3,7781,r. more slowly,[计] 减慢,[計] 減慢,
slowly,'slәuli,3,1222,r. without speed (`slow' is sometimes used informally for `slowly'),"adv. 慢慢地, 迟缓地","adv. 慢慢地, 遲緩地","『遅く』,『ゆっくり』"
slowness,'slәunis,4,19915,n. a rate demonstrating an absence of haste or hurry,"n. 缓慢, 迟钝","n. 緩慢, 遲鈍","遅いこと,緩慢"
sludge,slʌdʒ,4,11822,"n. the precipitate produced by sewage treatment; n. any thick, viscous matter","n. 软泥, 泥泞; [化] 沉淀物; 泥状沉淀","n. 軟泥, 泥濘; [化] 沉澱物; 泥狀沉澱","ぬるぬるしたどろ;(特に川底などの)軟泥 / (ボイラー・汚水処理装置などの)沈積物,おり / (海上の)小浮氷"
slue,slu:,5,0,"v turn sharply; change direction abruptly; v move obliquely or sideways, usually in an uncontrolled manner",v. (使)旋转; n. 旋转,v. (使)旋轉; n. 旋轉,=slew / =slough
slug,slʌg,4,10241,n. a unit of mass equal to the mass that accelerates at 1 foot/sec/sec when acted upon by a force of 1 pound; approximately 14.5939 kilograms; n. a counterfeit coin; n. an amount of an alcoholic drink (usually liquor) that is poured or gulped; n. any of various terrestrial gastropods having an elongated slimy body and no external shell,"n. 鼻涕虫, 刺蛾, 懒汉, 弹丸, 金属小块, 重击; vi. 偷懒, 动作迟缓; vt. 重击","n. 鼻涕蟲, 刺蛾, 懶漢, 彈丸, 金屬小塊, 重擊; vi. 偷懶, 動作遲緩; vt. 重擊","《米俗》弾丸,たま / (自動販売機などで不法に使われる)偽造硬貨 / ナメクジ / …をげんこつでぶんなぐる / (特に)こぶしでの強打"
sluggard,'slʌgәd,5,43350,n. an idle slothful person,"n. 偷懒者, 游手好闲的人, 懒鬼","n. 偷懶者, 遊手好閒的人, 懶鬼","怠け者,無精者"
slugger,'slʌgә,4,16442,n. a boxer noted for an ability to deliver hard punches,"n. 打击力强的选手, 重击者","n. 打擊力強的選手, 重擊者",(野球などの)強打者;(賞金つきボクシングの)強打のボクサー
sluggish,'slʌgiʃ,4,10122,s. moving slowly,"a. 偷懒的, 懒惰的, 迟钝的; [经] 萧条的, 呆滞的","a. 偷懶的, 懶惰的, 遲鈍的; [經] 蕭條的, 呆滯的","遅い,のろい / 鈍い,活力のない"
sluice,slu:s,5,27590,n. conduit that carries a rapid flow of water controlled by a sluicegate; v. pour as if from a sluice; v. irrigate with water from a sluice,"n. 水门, 水闸, 蓄水; vt. 泄洪, 冲洗; vi. 奔流","n. 水門, 水閘, 蓄水; vt. 洩洪, 沖洗; vi. 奔流","せき(水量を調節する水門のある人工水路),放水路 / (せきの)水門 / せき水(水門で止められている水);放水の流れ / 選鉱用の流し樋(とい);木材を流す人工水路 / (水門をあけて)〈水〉を放水する / 〈砂金など〉を流水で洗う / 〈木材など〉を水路に流す / 〈水が〉流れ出る,あふれ出る"
slum,slʌm,3,9642,"n. a district of a city marked by poverty and inferior living conditions; v. spend time at a lower socio-economic level than one's own, motivated by curiosity or desire for adventure; usage considered condescending and insensitive",n. 贫民窟; vi. 访问贫民区,n. 貧民窟; vi. 訪問貧民區,"《しばしばthe slums》貧民くつ,貧民街,スラム / 《話》汚らしい場所 / (好奇心・慈善のために)貧民街を訪れる"
slumber,'slʌmbә,3,15579,n. a dormant or quiescent state,"n. 睡眠, 麻木状态; vi. 微睡, 静止, 麻木; vt. 睡着度过(时间)","n. 睡眠, 麻木狀態; vi. 微睡, 靜止, 麻木; vt. 睡著度過(時間)","(特に,心地よく)眠る,まどろむ / 活動していない / 〈時など〉を眠って(活動しないで)過ごす《+『away』+『名,』+『名』+『away』》 / 眠り,まどろみ"
slump,slʌmp,4,6804,n. a noticeable deterioration in performance or quality; v. assume a drooping posture or carriage; v. fall or sink heavily; v. fall heavily or suddenly; decline markedly,"n. 暴跌, 垂头弯腰的姿态; vi. 猛然掉落, 陷入, 衰落(经济等)","n. 暴跌, 垂頭彎腰的姿態; vi. 猛然掉落, 陷入, 衰落(經濟等)","(…に)くずれるように落ちる(倒れる,沈み込む)《+『down on』(『to』)+『名』》 / 〈健康・人気などが〉急激に衰える,〈相場などが〉暴落する《+『down』》 / 《おもに米》不調,不振,スランプ / (景気・人気などの)急な衰え,(相場などの)暴落《+『in』+『名』》(反意語はboom)"
slur,slә:,5,14203,"n. (music) a curved line spanning notes that are to be played legato; v. play smoothly or legato; v. speak disparagingly of; e.g., make a racial slur; v. utter indistinctly","n. 连音符, 诽谤, 玷污, 印刷模糊; vt. 草率地看过, 忽略, 含糊地念; vi. 模糊不清","n. 連音符, 誹謗, 玷汙, 印刷模糊; vt. 草率地看過, 忽略, 含糊地念; vi. 模糊不清","〈言葉など〉を不明瞭(ふめいりょう)に発音する / 〈2つの音〉を中断せずに演奏する(歌う) / 〈音符〉にスラーをつける / 〈人〉をけなす,悪く言う / (時間がなかったり隠そうとしたりして)…を急いで片づける,あっさりと扱う《+『名』+『over,』+『over』+『名』》 / 不明瞭な発音[の話し方] / 中傷,悪口 / (音譜の)スラー;スラーのついた音符"
slurp,slә:p,5,19312,v. eat noisily,n. 吃的声音; v. 出声地吃(或喝),n. 吃的聲音; v. 出聲地吃(或喝),…を音をたてて飲む(食べる) / 音をたてて飲む(食べる)
slush,slʌʃ,4,18323,n. partially melted snow,"n. 烂泥, 雪水, 无聊的言情内容, 胡说八道; vt. 溅湿, 灌泥浆于; vi. 在雪泥(或泥浆)中走","n. 爛泥, 雪水, 無聊的言情內容, 胡說八道; vt. 濺溼, 灌泥漿於; vi. 在雪泥(或泥漿)中走",解けかかった雪(氷);ぬかるみ / くだらない感傷的な文(映画など)
slut,slʌt,4,15616,n a dirty untidy woman; n a woman adulterer,"n. 懒妇, 荡妇","n. 懶婦, 蕩婦",不潔な女 / ふしだらな女
sly,slai,3,9698,s marked by skill in deception,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的","a. 狡猾的, 詭密的, 俏皮的, 偷偷摸摸的","『ずるい』,陰険な / 茶目っ気のある,いたずらっぽい"
slyly,'slaili,4,19417,r in an artful manner,"adv. 狡猾地, 秘密地, 俏皮地, 偷偷地","adv. 狡猾地, 秘密地, 俏皮地, 偷偷地",
smack,smæk,4,7202,n. a sailing ship (usually rigged like a sloop or cutter) used in fishing and sailing along the coast; n. an enthusiastic kiss; n. the act of smacking something; a blow delivered with an open hand; v. deliver a hard blow to,"n. 风味, 滋味, 少量, 拍击声, 咂嘴声, 小渔船, 海洛因; vi. 有味道, 咂嘴, 发出拍击声; vt. 拍, 打, 掴, 咂, 出声地吻; adv. 啪地一声, 猛然","n. 風味, 滋味, 少量, 拍擊聲, 咂嘴聲, 小漁船, 海洛因; vi. 有味道, 咂嘴, 發出拍擊聲; vt. 拍, 打, 摑, 咂, 出聲地吻; adv. 啪地一聲, 猛然","(…の)味,風味《+『of』+『名』》 / (…)らしいところ《+『of』+『名』(do『ing』)》 / 《『smack of』+『名』》(…の)味(香り)がする;(…の)気味がある / 舌打ち,舌鼓 / チュッと音のするキス / 平手打ち / ドスン(ガツン)という音 / …にチュッとキスする / …をパチリ(ピシャリ)と打つ / 舌打ちをする,(…に)舌鼓を打つ《+『at』+『名』》 / 音を立ててぶつかる / 激しく,ピシャリと / (また《米》『smack-dab』)まともに,じかに / 1本マストの小型魚船"
small,smɒ:l,1,203,n. the slender part of the back; n. a garment size for a small person; a. limited or below average in number or quantity or magnitude or extent; s. slight or limited; especially in degree or intensity or scope,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的; adv. 些微地; n. 狭小部分","a. 小的, 少的, 小型的, 低微的, 小氣的, 細微的; adv. 些微地; n. 狹小部分","(大きさが)『小さい』,小形の;(量が)『少ない』,わずかな / 『取るに足りない』,ささいな(trivial) / 《名詞の前にのみ用いて》(仕事・活動などが)『小規模の』,ささやかな / 心が狭い,利己的な / (音・声が)弱い,小さい / (文字が)小型の,小文字の / 《the~》小さいもの;(…の)細い部分《+『of』+『名』》 / 《複数形で》《英》(衣類・ハンカチなどの)小物,小間物 / 小さく,細かく / (声などが)低く,弱く / 小規模に,こぢんまりと"
smallpox,'smɒ:lpɒks,4,11581,n. a highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars,"n. 天花; [医] 天花, 痘疮","n. 天花; [醫] 天花, 痘瘡","天然痘(とう),ほうそう"
smarmy,'smɑ:mi,5,29174,s unpleasantly and excessively suave or ingratiating in manner or speech,"a. 虚情假意的, 爱说奉承话的","a. 虛情假意的, 愛說奉承話的","おせじたらたらの,ひどくていねいな"
smart,smɑ:t,1,1856,n. a kind of pain such as that caused by a wound or a burn or a sore; a. showing mental alertness and calculation and resourcefulness; s. painfully severe; s. quick and brisk,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的; n. 刺痛, 痛苦; vi. 刺痛","a. 聰明的, 漂亮的, 刺痛的, 劇烈的, 敏捷的, 巧妙的, 伶俐的, 瀟灑的; n. 刺痛, 痛苦; vi. 刺痛","(頭の働きが)機敏な,気のきいた,抜け目のない;悪知恵が働く;(動作が)機敏な,てきぱきした(lively)・現代風の,流行の(fashionable) ・(人・服装などが)きちんとした,いきな,スマートな・ずきんとくる,厳しい,激しい・〈物事が〉ずきんとこたえる・〈傷口などが〉(…が原因で)ずきずき痛む,うずく《+『from』+『名』》・(…で)〈人が〉ずきんと心が痛む《+『from』(『under』)+『名』》・(心・傷口などの)鋭い痛み,うずき《+『of』+『名』(do『ing』)》"
smartly,'smɑ:ti,4,15998,r. in a stylish manner,"adv. 潇洒地, 火辣辣地, 刺痛地","adv. 瀟灑地, 火辣辣地, 刺痛地","利口に,抜け目なく / きれいに,いきに / 敏速に,きびきびと"
smarts,,4,18817,n a kind of pain such as that caused by a wound or a burn or a sore; v be the source of pain,n. 刺痛；头脑（smart的复数）,n. 刺痛；頭腦（smart的複數）,
smash,smæʃ,3,5113,"n. a serious collision (especially of motor vehicles); v. hit hard; v. break into pieces, as by striking or knocking over; v. hit violently","n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币; a. 非常轰动的, 了不起的; vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币; vi. 碎裂, 猛撞, 破产, 扣球, 杀球; adv. 轰隆一声, 哗啦一声","n. 打碎, 粉碎, 打碎時嘩啦聲, 猛擊, 扣球, 殺球, 經營失敗, 破產, 硬幣, 假硬幣; a. 非常轟動的, 了不起的; vt. 打碎, 粉碎, 擊潰, 使破產, 使裂變, 使用假硬幣; vi. 碎裂, 猛撞, 破產, 扣球, 殺球; adv. 轟隆一聲, 嘩啦一聲","…を『粉々にする』(shatter);…を打ち砕いて(…に)する《+『名』+『to』(『into』)+『名』》・…をガン(ガシャン)と打つ(打ちつける);…の(…を)強打する《+『名』+『on』+『名』》・…を完全に壊する,打ち負かす《+『名』+『up,』+『up』+『名』》 / (テニス・卓球などで)〈球〉をスマッシュできめる・〈物が〉『粉々に砕ける』《+『up』》;砕けて(…に)なる《+『to』(『into』)+『名』》・(…に)ガン(ガシャン)とぶつかる,衝突する《+『into』(『through』,『against』)+『名』》・(テニス・卓球などで)スマッシュを打つ / (…が)『粉々になること』,粉砕,衝突;(物の)壊れる音,(衝突の)大音響《+『of』+『名』(do『ing』)》・大成功,大当たり / (テニス・卓球などで)スマッシュ・大成功の,大当たりの・ガシャンと;まともに"
smashed,smæʃt,4,17414,"v hit hard; v break into pieces, as by striking or knocking over; v reduce to bankruptcy; v hit violently; v humiliate or depress completely; v damage or destroy as if by violence; v hit (a tennis ball) in a powerful overhead stroke; v collide or strike violently and suddenly; v overthrow or destroy (something considered evil or harmful); v break suddenly into pieces, as from a violent blow; s very drunk",a. 喝醉酒的; [法] 酒醉的,a. 喝醉酒的; [法] 酒醉的,酔っぱらった
smashing,'smæʃiŋ,4,16699,n. the act of breaking something into small pieces,"a. 猛烈的, 发出撞击声的, 了不起的, 轰动的","a. 猛烈的, 發出撞擊聲的, 了不起的, 轟動的","猛烈によい,すばらしくよい"
smear,smiә,4,8842,n. slanderous defamation; n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope; v. stain by smearing or daubing with a dirty substance; v. make a smudge on; soil by smudging,"vt. 涂, 擦上, 玷污, 把...擦模糊; vi. 被弄脏; n. 污点, 污迹, 污蔑","vt. 塗, 擦上, 玷汙, 把...擦模糊; vi. 被弄髒; n. 汙點, 汙跡, 汙衊","(油性・粘着性のものを)…に塗る,(…で)…を汚す《+『名』+『with』+『名』〈油など〉》 / (…に)〈油など〉を塗りつける《+『名』〈油など〉+『on』(『over』)+『名』》 / …をこすって不明瞭にする,消す / 〈人の名誉など〉を傷つける,中傷する / 汚れる / かすれる,分鮮明になる / (油などの)汚れ,しみ / 中傷 / (顕微鏡で見るためスライドに塗った)塗布[標本]"
smell,smel,1,2390,n. the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; n. the faculty that enables us to distinguish scents; n. the act of perceiving the odor of something; v. inhale the odor of; perceive by the olfactory sense,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息; vt. 闻, 探出, 察觉, 发出...的气味; vi. 嗅, 散发气味, 发臭","n. 味道, 氣味, 嗅覺, 嗅, 臭味, 氣息; vt. 聞, 探出, 察覺, 發出...的氣味; vi. 嗅, 散發氣味, 發臭","(調べたりするために)…を『かぐ』,のにおいをかぐ / …をにおいで気づく,のにおいに感づく / …に感づく,をかぎ出す《+『out』+『名』,+『名』+『out』》 / 〈物が〉『においがする』,におう / 〈人・動物が〉においがわかる;(…の)においをかぐ《+『at』+『名』》 / (特に)いやなにおいがする / 〈物事が〉何かにおう,(…の)感じがする《+『of』+『名』(doing)》 / 〈U〉『嗅覚』(きゅうかく) / 〈C〉(…の)『におい』《+『of』+『名』(do『ing』)》;《形容詞句を伴って》悪臭 / 〈C〉《a smell》(…を)かぐこと《+『at(of)』+『名』》"
smelly,'smeli,2,14701,s offensively malodorous,"a. 发臭的, 有臭味的","a. 發臭的, 有臭味的","いやなにおいがする,くさい"
smelting,'smeltiŋ,4,30773,v extract (metals) by heating,[化] 熔炼; 冶炼,[化] 熔鍊; 冶煉,
smile,smail,1,1068,"n. a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement; v. change one's facial expression by spreading the lips, often to signal pleasure; v. express with a smile","n. 微笑, 喜色, 笑容; vi. 微笑, 觉得好笑; vt. 微笑着表示","n. 微笑, 喜色, 笑容; vi. 微笑, 覺得好笑; vt. 微笑著表示","『ほほえむ』,にっこりする・〈好運・神などが〉(…に)好意を示す《+『on』(『upon』)+『名』》・《a+形容詞+smileを目的語にして》…な笑い方をする・…をほほえんで示す・〈人〉にほほえみかけて(…)させる(させない)《+『名』〈人〉+『into』(『out of』)+『名』(do『ing』)》・『ほほえみ』,微笑"
smiling,'smailiŋ,3,6438,"n a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement; v change one's facial expression by spreading the lips, often to signal pleasure; v express with a smile; s smiling with happiness or optimism","a. 微笑的, 欢快的","a. 微笑的, 歡快的","にこにこした,微笑している"
smirch,smә:tʃ,5,0,v. smear so as to make dirty or stained,"vt. 沾污, 弄脏; n. 脏污, 污点","vt. 沾汙, 弄髒; n. 髒汙, 汙點","(どろなどで)…を汚す《+『名』+『with』+『名』》 / (…で)〈名誉など〉を汚す《+『名』+『with』+『名』》 / 汚れ,しみ;(名誉などの)汚点《+『on』+『名』》"
smirk,smә:k,5,13553,n. a smile expressing smugness or scorn instead of pleasure; v. smile affectedly or derisively,"vi. 傻笑, 假笑, 得意地笑; n. 傻笑, 假笑, 得意的笑","vi. 傻笑, 假笑, 得意地笑; n. 傻笑, 假笑, 得意的笑","(…を)にやにや(にたにた)笑う《+『at』(『on, upon』+『名』)》 / にやにや笑い"
smite,smait,4,14488,"v. inflict a heavy blow on, with the hand, a tool, or a weapon; v. affect suddenly with deep feeling","vt. 重击, 打, 击败, 毁灭, 侵袭, 打动; vi. 重击, 打; n. 重击, 打","vt. 重擊, 打, 擊敗, 毀滅, 侵襲, 打動; vi. 重擊, 打; n. 重擊, 打",《古・文》(手・武器などで)…の(…を)強く打つ《+『名』+『on』+『名』》 / 《文》〈病気・災難などが〉…をどんと襲う / 《通例受動態に用いて》〈感情・恐怖などが〉…を激しく襲う《+『名』+『by』(『with』)+『名』》
smock,smɒk,4,17907,v. embellish by sewing in straight lines crossing each other diagonally,"n. 工作服, 罩衫, 长罩衣; vt. 使穿上工作服, 缝制装饰用衣褶","n. 工作服, 罩衫, 長罩衣; vt. 使穿上工作服, 縫製裝飾用衣褶","上っ張り,スモック(婦人・子供・画家・事務員などがはおる)"
smog,smәug,2,12947,n. air pollution by a mixture of smoke and fog,n. 烟雾; [化] 烟雾,n. 煙霧; [化] 煙霧,"『スモッグ』,煙霧"
smoke,smәuk,1,2414,n. a cloud of fine particles suspended in a gas; n. a hot vapor containing fine particles of carbon being produced by combustion; n. an indication of some hidden activity; n. something with no concrete substance,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色; vi. 吸烟, 冒烟, 弥漫; vt. 以烟熏, 抽烟而导致...","n. 煙, 霧氣, 煙燻劑, 抽菸, 煙色; vi. 吸菸, 冒煙, 瀰漫; vt. 以煙燻, 抽菸而導致...","〈U〉『煙』;煙状のもの / 〈C〉たばこの一服,喫煙 / 〈C〉《話》たばこ,(特に)紙巻きたばこ / 『煙を出す』,煙る;湯気を立てる / 『たばこを吸う』 / 〈たばこ・麻薬など〉を『吸う』 / 〈肉・魚〉を『薫製』(くんせい)『にする』,いぶす"
smoked,smәukt,4,10315,s. (used especially of meats and fish) dried and cured by hanging in wood smoke,a. 熏制的,a. 熏製的,
smoker,'smәukә,2,6646,n. a person who smokes tobacco; n. a passenger car for passengers who wish to smoke,"n. 吸烟者, 吸烟的人, 吸烟车厢, (美)(非正式)蒸汽火车头","n. 吸菸者, 吸菸的人, 吸菸車廂, (美)(非正式)蒸汽火車頭",喫煙家 / (また『smoking car』)喫煙車 / 《まれ》男だけの楽しみの集まり
smokers,ˈsməʊkəz,4,0,n a person who smokes tobacco; n a party for men only (or one considered suitable for men only); n a passenger car for passengers who wish to smoke,n. 吸烟者( smoker的名词复数 ),n. 吸菸者( smoker的名詞複數 ),
smoking,'smәukiŋ,2,4956,s. emitting smoke in great volume,"n. 抽烟, 冒烟; [医] 烟熏; 吸烟","n. 抽菸, 冒煙; [醫] 煙燻; 吸菸",煙ること / 喫煙
smoky,'smәuki,3,9887,a. marked by or emitting or filled with smoke; s. tasting of smoke,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的","a. 冒煙的, 滿是煙的, 燻髒的, 菸灰色的","(特にたくさん)煙を出す,もくもくと煙の出る / 煙でいっぱいの / (性質・外観などが)煙のような"
smolder,'smәuldә,4,14797,v. burn slowly and without a flame; v. have strong suppressed feelings,"vi. 闷烧, 郁积; n. 闷烧","vi. 悶燒, 鬱積; n. 悶燒","くすぶる / 〈感情などが〉くすぶる,いつまでも消えない / くすぶる火(煙)"
smooth,smu:ð,1,2422,"n. the act of smoothing; v. make smooth or smoother, as if by rubbing; v. free from obstructions; a. having a surface free from roughness or bumps or ridges or irregularities","a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的; vt. 使光滑, 烫平, 使平和, 消除; vi. 变平滑, 变平静; n. 一块平地, 平滑部分","a. 平滑的, 平穩的, 流暢的, 和藹的, 安祥的, 圓滑的, 調勻的, 無毛的; vt. 使光滑, 燙平, 使平和, 消除; vi. 變平滑, 變平靜; n. 一塊平地, 平滑部分","(表面が)『滑らかな』,すべすべした;『平らな』,平坦(へいたん)な / (動きが)円滑な,揺れのない / (物事が)すらすら運ぶ,順調な,平隠な / (味など)滑らかな;(練り粉など)つぶつぶ(むら)のない / 愛想のよい,取り入るような / …を『滑らかにする』,平らにする,〈髪など〉をなでつける《+『out(down)』+『名,』+『名』+『out(down)』》 / 〈物事〉を容易にする,円滑にする《+『away(out)』+『名,』+『away(out)』》 / 〈人・気持ちなど〉を静める,和らげる《+『down』+『名,』+『名』+『down』》 / 滑らか(平ら)になる;隠やかになる《+『down』》 / =smoothly"
smoothly,'smu:ðli,3,6168,r. with no problems or difficulties; r. in a smooth and diplomatic manner,"adv. 平滑地, 流畅地, 流利地","adv. 平滑地, 流暢地, 流利地","(またsmooth)滑らかに,円滑に;平隠に"
smother,'smʌðә,4,10923,n. a stifling cloud of smoke; v. envelop completely; v. deprive of oxygen and prevent from breathing; v. conceal or hide,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖; vi. 窒息, 被抑制; n. 浓烟, 窒息状态, 杂乱无章","vt. 使喘不過氣, 使窒息, 悶熄, 忍住, 抑制, 覆蓋; vi. 窒息, 被抑制; n. 濃煙, 窒息狀態, 雜亂無章","…を窒息させる,窒息させる / (…で)〈火〉をおおって消す《+『名』+『with』+『名』》 / (…で)…を厚くおおう(包む)《+『名』+『with(in, between)』+『名』》 / 〈感情など〉をおおい隠す,〈事実など〉をもみ消す《+『up』+『名,』+『名』+『up』》 / 窒息する,息苦しくなる / (息が詰まるほど)濃い霧(煙,ほこり)"
smudge,smʌdʒ,5,15864,n. a smoky fire to drive away insects; n. a blemish made by dirt,"n. 污点, 脏污, 熏烟; vt. 弄脏, 使模糊, 用浓烟熏; vi. 被弄脏","n. 汙點, 髒汙, 燻煙; vt. 弄髒, 使模糊, 用濃煙燻; vi. 被弄髒","汚れ,しみ / 《おもに米》(虫よけや霜よけのために戸外でたく)いぶし煙 / (…で)…を汚す,にとみをつける《+『名』+『with』+『名』》 / 《おもに米》〈場所など〉にいぶし煙をたく / 〈物が〉汚れる,しみがつく;〈インクなどが〉にじむ"
smug,smʌg,4,12560,s. marked by excessive complacency or self-satisfaction,"a. 自以为是的, 自鸣得意的, 整洁的; n. 书呆子, 自命不凡的家伙","a. 自以為是的, 自鳴得意的, 整潔的; n. 書呆子, 自命不凡的傢伙","自己満足した,ひとりよがりの"
smuggle,'smʌgl,3,8668,v. import or export without paying customs duties,"vt. 偷运, 走私, 私运; vi. 走私","vt. 偷運, 走私, 私運; vi. 走私","(…へ,…から)…を密輸する,こっそり運ぶ《+『名』+『into(out of)』+『名』》 / 密輸する,こっそり運ぶ"
smuggler,'smʌglә,4,10708,n. someone who imports or exports without paying duties,"n. 走私者, 走私船; [经] 走私者, 走私船","n. 走私者, 走私船; [經] 走私者, 走私船",密輸業者
snack,snæk,2,5187,n a light informal meal; v eat a snack; eat lightly,"n. 小吃, 点心, 快餐; vi. 吃零食, 吃快餐","n. 小吃, 點心, 快餐; vi. 吃零食, 吃快餐","(特に食事と食事の間にとる)『軽食』,スナック / 軽い食事をとる;間食する"
snacks,,4,0,n a light informal meal; v eat a snack; eat lightly,n. 快餐；小吃；零嘴（snack的复数）,n. 快餐；小吃；零嘴（snack的複數）,
snag,snæg,4,9696,"n. a sharp protuberance; n. a dead tree that is still standing, usually in an undisturbed forest; v. catch on a snag; v. get by acting quickly and smartly","n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍; vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物","n. (尖利的)突出物, (衣服等的)戳破處, 斷牙, 意外障礙; vt. 造成阻礙, 抓住機會, 搶到, 清除障礙物","(切り株・隠れた岩などの)鋭い(ごつごつした)突起 / (船の進行を妨げる)沈み木,倒れ木 / (衣類の)かぎ裂き,裂き目 / 《おもに英》意外な障害(故障) / …を沈み木(切り株)に引っかける(からませる);(…に引っかけて)〈服〉をかぎ裂きにした / 《米話》…をすばやくつかまえる / 〈湖・河など〉の沈み木を除去する"
snail,sneil,3,10183,n. freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell; v. gather snails,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮; vt. (蜗牛般)缓慢地打发(时间); vi. 缓慢移动","n. 蝸牛, 行動遲緩的人, 腦筋遲鈍的人, 蝸形凸輪; vt. (蝸牛般)緩慢地打發(時間); vi. 緩慢移動",カタツムリ
snake,sneik,1,3481,"n. limbless scaly elongate reptile; some are venomous; n. a deceitful or treacherous person; n. a tributary of the Columbia River that rises in Wyoming and flows westward; discovered in 1805 by the Lewis and Clark Expedition; n. something long, thin, and flexible that resembles a snake","n. 蛇, 阴险的人; vi. 曲折行进; vt. 迂回, 拉, 急抽","n. 蛇, 陰險的人; vi. 曲折行進; vt. 迂迴, 拉, 急抽","『ヘビ』(『蛇』) / (蛇のように)ずるく陰険な人 / へび(配水管などの詰まった物を取り除く道具) / 蛇行する,くねくねと続く / 〈体など〉をくねらす / 《米》〈材木など〉を引っぱる,引きずる"
